CUSTKEY,CUSTNAME,CUSTADDRESS,SEGMENT,SUPPKEY,SUPPNAME,SUPPADDRESS,NATIONKEY,NATION,REGIONKEY,REGION,PARTKEY,PARTNAME,BRAND,MANUFACTURE,TYPE,QUANTITY,EXTENDEDPRICE,TAX
116,Customer#000000116,"yCuVxIgsZ3,qyK2rloThy3u",BUILDING,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,167,almond floral grey dim sky,Brand#32,Manufacturer#3,LARGE ANODIZED STEEL,32,34149.12,0.07
23,Customer#000000023,OdY W13N7Be3OC5MpgfmcYss0Wn6TKT,HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,40,lemon midnight metallic sienna steel,Brand#25,Manufacturer#2,ECONOMY BURNISHED COPPER,37,34781.48,0.01
119,Customer#000000119,M1ETOIecuvH8DtM0Y0nryXfW,FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,12,cornflower wheat orange maroon ghost,Brand#33,Manufacturer#3,MEDIUM ANODIZED STEEL,28,25536.28,0.02
58,Customer#000000058,g9ap7Dk1Sv9fcXEWjpMYpBZIRUohi T,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,28,navajo yellow drab white misty,Brand#44,Manufacturer#4,SMALL PLATED COPPER,26,24128.52,0.04
143,Customer#000000143,681r22uL452zqk 8By7I9o9enQfx0,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,57,purple blue light sienna deep,Brand#32,Manufacturer#3,MEDIUM BURNISHED BRASS,39,37324.95,0.07
101,Customer#000000101,sMmL2rNeHDltovSm Y,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,108,bisque peach magenta tomato yellow,Brand#12,Manufacturer#1,PROMO PLATED NICKEL,2,2016.2,0.05
8,Customer#000000008,"I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5",BUILDING,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,137,cornsilk drab ghost sandy royal,Brand#31,Manufacturer#3,ECONOMY PLATED STEEL,47,48745.11,0.08
139,Customer#000000139,3ElvBwudHKL02732YexGVFVt ,MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,191,mint midnight puff forest peach,Brand#31,Manufacturer#3,MEDIUM POLISHED BRASS,2,2182.38,0.01
124,Customer#000000124,"aTbyVAW5tCd,v09O",AUTOMOBILE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,93,pale yellow cornsilk dodger moccasin,Brand#24,Manufacturer#2,LARGE ANODIZED TIN,49,48661.41,0.04
97,Customer#000000097,"OApyejbhJG,0Iw3j rd1M",AUTOMOBILE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,77,mint bisque chiffon snow firebrick,Brand#52,Manufacturer#5,STANDARD BRUSHED COPPER,44,42991.08,0.02
8,Customer#000000008,"I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5",BUILDING,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,192,thistle puff pink cream orange,Brand#34,Manufacturer#3,STANDARD BRUSHED COPPER,13,14198.47,0.04
49,Customer#000000049,"cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl",FURNITURE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,175,magenta blue chartreuse tan green,Brand#11,Manufacturer#1,PROMO ANODIZED TIN,6,6451.02,0.02
